"","seqn","sddsrvyr","ridstatr","riagendr","ridageyr","ridreth1","ridexmon","dmdcitzn","dmdeduc2","dmdmartl","sialang","siaproxy","siaintrp","fialang","fiaproxy","fiaintrp","mialang","miaproxy","miaintrp","dmdhhsiz","dmdfmsiz","dmdhrgnd","dmdhrage","dmdhredu","dmdhrmar","wtint2yr","wtmec2yr","sdmvpsu","sdmvstra","indhhin2","indfmin2","indfmpir","year"
"7956",49430,5,2,2,32,3,2,1,4,1,1,2,2,1,2,2,1,2,2,4,4,1,31,4,1,71414.013569,72422.055163,2,62,14,14,3.54,"2007-2008"
"7958",49432,5,2,1,54,3,2,1,4,1,1,2,2,1,2,2,1,2,2,7,7,1,54,4,1,73285.01685,75398.80637,2,74,15,15,2.02,"2007-2008"
"7971",49445,5,2,2,45,1,1,1,2,1,2,2,2,2,2,2,2,2,2,4,4,1,48,1,1,20466.951401,20772.36709,2,72,7,7,1.65,"2007-2008"
"7972",49446,5,2,1,22,4,2,1,4,5,1,2,2,1,2,2,1,2,2,6,6,1,70,4,1,23901.533524,24504.01967,1,64,7,7,1.45,"2007-2008"
"7985",49459,5,2,1,33,4,1,1,5,1,1,2,2,1,2,2,1,2,2,2,2,2,31,5,1,19669.852005,22459.883681,2,68,15,15,5,"2007-2008"
"7987",49461,5,2,1,39,5,2,2,5,1,1,2,2,1,2,2,1,2,2,5,5,2,33,5,1,66713.171099,68043.065532,1,63,8,8,2.07,"2007-2008"
"8003",49477,5,2,2,41,3,2,1,5,1,1,2,2,1,2,2,1,2,2,3,3,2,41,5,1,129047.382545,132725.446946,2,65,15,15,5,"2007-2008"
"8007",49481,5,2,2,43,3,2,1,4,1,1,2,2,1,2,2,1,2,2,4,4,2,43,4,1,75485.153967,78498.802541,2,74,10,10,3.07,"2007-2008"
"8015",49489,5,2,2,55,3,2,1,3,1,1,2,2,1,2,2,1,2,2,2,2,1,57,4,1,146271.970921,145807.39002,2,63,15,15,5,"2007-2008"
"8019",49493,5,2,2,33,3,2,1,4,1,1,2,2,1,2,2,1,2,2,3,3,1,35,3,1,93436.587321,94129.875231,1,69,9,9,3.49,"2007-2008"
"8027",49501,5,2,1,38,3,2,1,5,1,1,2,2,1,2,2,1,2,2,3,3,1,38,5,1,66965.486588,73755.886977,2,64,14,14,4.83,"2007-2008"
"8036",49510,5,2,1,40,1,1,1,3,1,1,2,2,1,2,2,1,2,2,2,2,2,41,1,1,37571.993064,41337.25576,2,70,7,7,2.86,"2007-2008"
"8037",49511,5,2,2,48,3,1,1,5,1,1,2,2,1,2,2,1,2,2,2,2,1,49,5,1,80250.366559,83130.137867,2,68,15,15,5,"2007-2008"
"8052",49526,5,2,2,44,2,2,1,3,1,1,2,2,1,2,2,1,2,2,4,4,2,44,3,1,22806.963625,22538.48111,1,69,8,8,2.18,"2007-2008"
"8062",49536,5,2,1,49,2,1,1,4,1,1,2,2,1,2,2,2,2,2,3,3,1,49,4,1,19794.031929,21228.052919,1,68,14,14,5,"2007-2008"
"8073",49547,5,2,2,24,1,1,1,4,5,1,2,2,1,2,2,1,2,2,7,7,1,53,1,1,23373.167023,24672.59435,1,66,7,7,1.24,"2007-2008"
"8074",49548,5,2,1,20,3,2,1,2,5,1,2,2,1,2,2,1,2,2,3,3,2,47,2,1,94038.32375,93557.148473,2,60,15,15,5,"2007-2008"
"8080",49554,5,2,2,33,1,1,2,4,1,2,2,2,1,2,2,2,2,2,3,3,2,33,4,1,23453.251795,23199.558975,1,69,6,6,1.86,"2007-2008"
"8083",49557,5,2,2,72,3,2,1,3,1,1,2,2,1,2,2,1,2,2,2,2,1,73,5,1,33715.313253,32773.269768,1,67,14,14,5,"2007-2008"
"8088",49562,5,2,1,60,3,2,1,5,1,1,2,2,1,2,2,1,2,2,2,2,2,60,5,1,53088.2953,52807.390813,2,63,14,14,5,"2007-2008"
"8093",49567,5,2,1,68,3,2,1,4,1,1,2,2,1,2,2,1,2,2,2,2,2,67,5,1,53088.2953,52807.390813,2,63,7,7,2.86,"2007-2008"
"8097",49571,5,2,1,65,2,1,1,5,1,2,2,2,2,2,2,1,2,2,5,5,1,65,5,1,5821.317209,6204.251871,2,68,6,6,1.23,"2007-2008"
"8102",49576,5,2,1,51,2,1,1,4,1,2,2,2,1,2,2,2,2,2,4,4,1,51,4,1,14062.400523,15081.181213,1,72,9,9,2.66,"2007-2008"
"8111",49585,5,2,1,78,5,1,1,1,1,1,2,1,1,2,1,1,1,1,4,4,1,52,4,1,29384.512231,29418.517311,1,63,10,10,3.39,"2007-2008"
"8112",49586,5,2,2,45,2,1,1,4,1,2,2,2,1,2,2,1,2,2,5,5,1,46,4,1,16080.858539,15891.55542,2,73,15,15,4.97,"2007-2008"
"8115",49589,5,2,2,50,3,2,1,2,1,1,2,2,1,2,2,1,2,2,3,3,2,50,2,1,109492.649683,112034.114674,2,63,10,10,3.92,"2007-2008"
"8116",49590,5,2,1,50,2,1,1,2,5,1,2,2,1,2,2,1,2,2,3,3,1,80,1,1,17560.193207,18832.378972,2,65,10,10,3.98,"2007-2008"
"8125",49599,5,2,1,41,3,1,1,5,1,1,2,2,1,2,2,1,2,2,4,4,1,41,5,1,122044.569922,126286.571625,1,71,15,15,5,"2007-2008"
"8126",49600,5,2,1,23,3,2,1,4,1,1,2,2,1,2,2,1,2,2,4,4,1,23,4,1,82965.760844,90194.717232,1,63,8,8,2.18,"2007-2008"
"8127",49601,5,2,2,39,2,2,2,2,1,2,2,2,2,2,2,2,2,2,4,4,1,56,1,1,17679.874438,17488.631994,2,62,6,6,1.27,"2007-2008"
"8148",49622,5,2,2,71,3,2,1,3,1,1,2,2,1,2,2,1,2,2,2,2,1,74,4,1,19606.005527,19682.693791,1,61,5,5,1.46,"2007-2008"
"8154",49628,5,2,1,62,3,2,1,5,1,1,2,2,1,2,2,1,2,2,2,2,1,62,5,1,45398.803551,46461.738197,2,74,10,10,5,"2007-2008"
"8159",49633,5,2,2,65,3,2,1,3,1,1,2,2,1,2,2,1,2,2,2,2,1,66,3,1,52544.860904,53155.162373,1,61,7,7,3.15,"2007-2008"
